Taxon,Phylum,Class,Order,Family,Genus,Other_Taxa,Tribe,FFG,FAM_TV,Habit,FinalTolVal07,Comment,Year_Added
DYTISCIDAE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,,Predator,5,"sw, dv",5.4,,1995
ECCOPTURA,Arthropoda,Insecta,Plecoptera,Perlidae,Eccoptura,Acroneuriini,Acroneuriini,Predator,2,cn,0.6,,1995
ECTOPRIA,Arthropoda,Insecta,Coleoptera,Psephenidae,Ectopria,,,Scraper,4,cn,2.2,,1995
ELMIDAE,Arthropoda,Insecta,Coleoptera,Elmidae,,,,Collector,5,cn,4.8,,1995
EMPIDIDAE,Arthropoda,Insecta,Diptera,Empididae,,,,Predator,6,"sp, bu",7.5,,1995
ENALLAGMA,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,,,Predator,8,cb,9,,1995
ENCHYTRAEIDAE,Annelida,Oligochaeta,Haplotaxida,Enchytraeidae,,,,Collector,10,bu,9.1,,1995
ENDOCHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Endochironomus,Chironominae,Chironomini,Shredder,7,cn,6.2,,1995
EPEORUS,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Epeorus,,,Scraper,3,cn,1.7,,1995
EPHEMERA,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Ephemera,,,Collector,4,bu,3,,1995
EPHEMERELLA,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,,,Collector,2,"cn, sw",2.3,,1995
EPHEMERELLIDAE,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,,,2,"cn, sp, sw",2.6,,1995
EPHEMEROPTERA,Arthropoda,Insecta,Ephemeroptera,,,,,Collector,,,2.9,,1995
ERPETOGOMPHUS,Arthropoda,Insecta,Odonata,Gomphidae,Erpetogomphus,,,Predator,5,bu,2.2,,1995
EUKIEFFERIELLA,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Orthocladiinae,,Collector,7,sp,6.1,,1995
EURYLOPHELLA,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Eurylophella,,,Scraper,2,"cn, sp",4.5,,1995
FERRISSIA,Mollusca,Gastropoda,Basommatophora,Ancylidae,Ferrissia,Mollusca,,Scraper,7,cb,7,,1995
FOSSARIA,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Fossaria,,,Scraper,6,cb,6.9,,1995
GAMMARUS,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Crustacea,,Shredder,6,sp,6.7,,1995
GLOSSOSOMA,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Glossosoma,Glossosomatini,Glossosomatini,Scraper,1,cn,0,,1995
GLOSSOSOMATIDAE,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,,,Scraper,1,cn,1,,1995
GLYPTOTENDIPES,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,Chironominae,Chironomini,Filterer,7,"bu, cn",6.6,,1995
GOMPHIDAE,Arthropoda,Insecta,Odonata,Gomphidae,,,,Predator,5,bu,2.2,,1995
GOMPHUS,Arthropoda,Insecta,Odonata,Gomphidae,Gomphus,,,Predator,5,bu,2.2,,1995
GYRAULUS,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,Mollusca,,Scraper,7,cb,7.6,,1995
HABROPHLEBIA,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Habrophlebia,,,Collector,3,"sw, cn, sp",1.7,,1995
HALIPLIDAE,Arthropoda,Insecta,Coleoptera,Haliplidae,,,,,5,,5,,1995
HALIPLUS,Arthropoda,Insecta,Coleoptera,Haliplidae,Haliplus,,,Shredder,5,cb,9,,1995
HAPLOPERLA,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Haploperla,,,Predator,1,cn,1.6,,1995
HELENIELLA,Arthropoda,Insecta,Diptera,Chironomidae,Heleniella,Orthocladiinae,,Predator,7,sp,0.9,,1995
HELICHUS,Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,,,Scraper,5,cn,6.4,,1995
HELISOMA,Mollusca,Gastropoda,Basommatophora,Planorbidae,Helisoma,Mollusca,,Scraper,7,cb,7.6,,1995
HELIUS,Arthropoda,Insecta,Diptera,Tipulidae,Helius,,,Predator,4,"sp, bu",3.6,,1995
HEMERODROMIA,Arthropoda,Insecta,Diptera,Empididae,Hemerodromia,Hemerodromiini,Hemerodromiini,Predator,6,"sp, bu",7.9,,1995
HEPTAGENIA,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Heptagenia,,,Scraper,3,"cn, sw",2.6,,1995
HEPTAGENIIDAE,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,,Scraper,3,cn,2.6,,1995
HETEROPLECTRON,Arthropoda,Insecta,Trichoptera,Calamoceratidae,Heteroplectron,,,Shredder,3,sp,3,,1995
HETEROTRISSOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Heterotrissocladius,Orthocladiinae,,Collector,7,"sp, bu",2,,1995
HEXATOMA,Arthropoda,Insecta,Diptera,Tipulidae,Hexatoma,,,Predator,4,"bu, sp",1.5,,1995
HIRUDINEA,Annelida,Hirudinea,0,,,,,Predator,8,sp,,,1995
HOMOPLECTRA,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Homoplectra,,,Filterer,5,cn,5.7,,1995
HYALELLA,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,Crustacea,,Shredder,8,sp,4.2,,1995
HYALELLIDAE,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,,,,Shredder,8,,8,,1995
HYDATOPHYLAX,Arthropoda,Insecta,Trichoptera,Limnephilidae,Hydatophylax,Stenophylacini,Stenophylacini,Shredder,4,"sp, cb",3.4,,1995
HYDROBAENUS,Arthropoda,Insecta,Diptera,Chironomidae,Hydrobaenus,Orthocladiinae,,Scraper,7,sp,7.2,,1995
HYDROBIA,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,Hydrobia,,,Scraper,8,cb,8,,1995
HYDROBIIDAE,Mollusca,Gastropoda,Mesogastropoda,Hydrobiidae,,,,Scraper,8,cb,8,,1995
HYDROBIUS,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Hydrobius,,,Collector,5,"cb, cn, sp",4.1,,1995
HYDROCHIDAE,Arthropoda,Insecta,Coleoptera,Hydrochidae,,,,,,,,,1995
HYDROPORUS,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,,,Predator,5,"sw, cb",4.6,,1995
HYDROPSYCHE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,,,Filterer,5,cn,7.5,,1995
HYDROPSYCHIDAE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,,Filterer,5,cn,5.7,,1995
HYDROPTILA,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Hydroptila,Hydroptilini,Hydroptilini,Scraper,4,cn,6,,1995
