MBSSTaxon,Phylum,Class,Order,Family,Genus,Other_Taxa,Tribe,FFG,FAM_TV,Habit,FinalTolVal07,Comment,Year_Added
CELINA,Arthropoda,Insecta,Coleoptera,Dytiscidae,Celina,,,Predator,5,"sw, dv",5,"Added 6 Nov 06 by DB, addition",2007
CENTROPTILUM,Arthropoda,Insecta,Ephemeroptera,Baetidae,Centroptilum,,,Collector,5,"sw, cn",2.3,"Key Change for Baetidae, possibly from Baetis, split",1995
CERACLEA,Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,Athripsodini,Athripsodini,Collector,4,"sp, cb",4.1,,1995
CERATOPOGON,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogon,,,Predator,6,"sp, bu",2.7,,1995
CERATOPOGON/CULICOIDES/STILOBEZZIA,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogon/Culicoides/Stilobezzia,,,Predator,6,"sp, bu",,,2021
CERATOPOGONIDAE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Predator,6,"sp, bu",3.6,,1995
CERATOPOGONINAE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,Ceratopogoninae,,Predator,6,"sp, bu",3.6,,2022
CERATOPSYCHE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Ceratopsyche,,,Collector,,cn,,"Added Sept 2009 by  MTK, name change from Hydropsyche, then back to Hydropsyche",2009
CHAETOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Chaetocladius,Orthocladiinae,,Collector,7,sp,7,,1996
CHAETOGASTER,Annelida,Oligochaeta,Tubificida,Naididae,Chaetogaster,,,,10,,,,2003
CHAOBORIDAE,Arthropoda,Insecta,Diptera,Chaoboridae,,,,,,,,,2007
CHAOBORUS,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,,,Predator,,"sp, sw",4,,1995
CHAULIODES,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodes,,,Predator,2,"cn, cb",1.4,,1997
CHELIFERA,Arthropoda,Insecta,Diptera,Empididae,Chelifera,Hemerodromiini,Hemerodromiini,Predator,6,"sp, bu",7.1,,1995
CHEUMATOPSYCHE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,,,Filterer,5,cn,6.5,,1995
CHIMARRA,Arthropoda,Insecta,Trichoptera,Philopotamidae,Chimarra,,,Filterer,3,cn,4.4,,1995
CHIRONOMIDAE,Arthropoda,Insecta,Diptera,Chironomidae,,,,,7,,6.6,,1996
CHIRONOMINAE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironominae,,Collector,7,,6.6,,1995
CHIRONOMINI,Arthropoda,Insecta,Diptera,Chironomidae,,Chironominae,Chironomini,,7,,5.9,,1997
CHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironominae,Chironomini,Collector,7,bu,4.6,,1995
CHLAENIUS,Arthropoda,Insecta,Coleoptera,Carabidae,Chlaenius,,,,4,,,,1995
CHLOROPERLIDAE,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,,Predator,1,cn,1.6,,1995
CHRYSOGASTER,Arthropoda,Insecta,Diptera,Syrphidae,Chrysogaster,,,Collector,10,bu,,,2001
CHRYSOMELIDAE,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,,Shredder,,cn,,,2007
CHRYSOPS,Arthropoda,Insecta,Diptera,Tabanidae,Chrysops,,,Predator,6,"sp, bu",2.9,,1995
CINYGMULA,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Cinygmula,,,Scraper,3,cn,1.6,,1995
CLADOCERA,Arthropoda,Crustacea,Cladocera,,,,,Filterer,8,,8,,1995
CLADOPELMA,Arthropoda,Insecta,Diptera,Chironomidae,Cladopelma,Chironominae,Chironomini,Collector,7,bu,6.6,,1995
CLADOTANYTARSUS,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus,Chironominae,Tanytarsini,Filterer,7,,6.6,,1995
CLIMACIA,Arthropoda,Insecta,Neuroptera,Sisyridae,Climacia,,,Predator,,cb,,,1995
CLINOCERA,Arthropoda,Insecta,Diptera,Empididae,Clinocera,,,Predator,6,cn,7.4,,1995
CLINOTANYPUS,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,Tanypodinae,Coelotanypodini,Predator,7,bu,6.6,,1995
CLIOPERLA,Arthropoda,Insecta,Plecoptera,Perlodidae,Clioperla,,,Predator,2,cn,1.7,,1995
CLOEON,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeon,,,Collector,,"sw, cn",9,,2004
CNEPHIA,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,Prosimuliini,Prosimuliini,Filterer,7,cn,3.2,,1997
COENAGRIONIDAE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,Predator,8,cb,9,,1995
COLEOPTERA,Arthropoda,Insecta,Coleoptera,,,,,Predator,,,,,2023
COLLEMBOLA,Arthropoda,Collembola,Collembola,,,,,,,,6,,1995
CONCHAPELOPIA,Arthropoda,Insecta,Diptera,Chironomidae,Conchapelopia,Tanypodinae,Pentaneurini,Predator,7,sp,6.1,,1995
CONSTEMPELLINA,Arthropoda,Insecta,Diptera,Chironomidae,Constempellina,Chironominae,Tanytarsini,Collector,7,,6.6,,2000
COPELATUS,Arthropoda,Insecta,Coleoptera,Dytiscidae,Copelatus,,,Predator,5,sw,5,,2003
COPEPODA,Arthropoda,Crustacea,Copepoda,,,,,Collector,8,,8,,1995
COPTOTOMUS,Arthropoda,Insecta,Coleoptera,Dytiscidae,Coptotomus,,,Predator,5,"sw, dv, cb",9,,2004
CORBICULA,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,Mollusca,,Filterer,6,bu,6,,1995
CORBICULIDAE,Mollusca,Bivalvia,Veneroida,Corbiculidae,,,,Filterer,6,,6,,1995
CORDULEGASTER,Arthropoda,Insecta,Odonata,Cordulegastridae,Cordulegaster,,,Predator,3,bu,2.4,,1995
CORDULEGASTRIDAE,Arthropoda,Insecta,Odonata,Cordulegastridae,,,,Predator,3,,3,,1995
CORDULIIDAE,Arthropoda,Insecta,Odonata,Corduliidae,,,,Predator,3,"sp, cb",2,,1997
CORETHRELLA,Arthropoda,Insecta,Diptera,Corethrellidae,Corethrella,,,Predator,,sw,,,2023
CORIXIDAE,Arthropoda,Insecta,Hemiptera,Corixidae,,,,Predator,5,sw,5.6,,1995
CORYDALIDAE,Arthropoda,Insecta,Megaloptera,Corydalidae,,,,Predator,2,,1.4,,2000
CORYDALUS,Arthropoda,Insecta,Megaloptera,Corydalidae,Corydalus,,,Predator,2,"cn, cb",1.4,,1995
CORYNONEURA,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Orthocladiinae,,Collector,7,sp,4.1,,1995
COSMOPTERYGIDAE,Arthropoda,Insecta,Lepidoptera,Cosmopterygidae,,,,Shredder,6,,6,,1995
CRAMBIDAE,Arthropoda,Insecta,Lepidoptera,Crambidae,,Pyraloidea,,Shredder,,cb,,,2016
